base,target,rate
AUD,AUD,1.00000000
AUD,BRL,2.78864500
AUD,CAD,1.04551000
AUD,CHF,0.77374900
AUD,EUR,0.70616900
AUD,GBP,0.55439400
AUD,JPY,88.85810400
AUD,KRW,934.00943100
AUD,MXN,14.00315700
AUD,NZD,1.18609500
AUD,RUB,58.22210100
AUD,SGD,1.08170800
AUD,TWD,25.73749700
AUD,USD,0.78423000
BRL,AUD,0.35859700
BRL,BRL,1.00000000
BRL,CAD,0.35706300
BRL,CHF,0.26425100
BRL,EUR,0.24117100
BRL,GBP,0.18933700
BRL,JPY,30.34690800
BRL,KRW,318.98383200
BRL,MXN,4.78237200
BRL,NZD,0.40507600
BRL,RUB,18.98024900
BRL,SGD,0.36942600
BRL,TWD,8.78989500
BRL,USD,0.26783100
CAD,AUD,1.05450700
CAD,BRL,2.80061800
CAD,CAD,1.00000000
CAD,CHF,0.77707100
CAD,EUR,0.70920100
CAD,GBP,0.55677500
CAD,JPY,89.23961900
CAD,KRW,938.01963100
CAD,MXN,14.06328000
CAD,NZD,1.19118800
CAD,RUB,58.47208000
CAD,SGD,1.08635300
CAD,TWD,25.84800200
CAD,USD,0.78759700
CHF,AUD,1.42487900
CHF,BRL,3.78427100
CHF,CAD,1.41878800
CHF,CHF,1.00000000
CHF,EUR,0.95829100
CHF,GBP,0.75233000
CHF,JPY,120.58299700
CHF,KRW,1267.47759400
CHF,MXN,19.00268600
CHF,NZD,1.60956600
CHF,RUB,79.00906300
CHF,SGD,1.46791000
CHF,TWD,34.92652100
CHF,USD,1.06422300
EUR,AUD,1.56123800
EUR,BRL,4.14642100
EUR,CAD,1.55456300
EUR,CHF,1.15048200
EUR,EUR,1.00000000
EUR,GBP,0.82432600
EUR,JPY,132.12262700
EUR,KRW,1388.77349200
EUR,MXN,20.82121700
EUR,NZD,1.76359800
EUR,RUB,86.57012300
EUR,SGD,1.60838700
EUR,TWD,38.26894200
EUR,USD,1.16606800
GBP,AUD,1.98865200
GBP,BRL,5.28157000
GBP,CAD,1.98015000
GBP,CHF,1.46544600
GBP,EUR,1.33745300
GBP,GBP,1.00000000
GBP,JPY,168.29328800
GBP,KRW,1768.97221200
GBP,MXN,26.52135500
GBP,NZD,2.24641300
GBP,RUB,110.27006500
GBP,SGD,2.04870900
GBP,TWD,48.74567100
GBP,USD,1.48529700
JPY,AUD,0.01240600
JPY,BRL,0.03295200
JPY,CAD,0.01235400
JPY,CHF,0.00914200
JPY,EUR,0.00834400
JPY,GBP,0.00655000
JPY,JPY,1.00000000
JPY,KRW,11.03680800
JPY,MXN,0.16546900
JPY,NZD,0.01401500
JPY,RUB,0.68798600
JPY,SGD,0.01278100
JPY,TWD,0.30412900
JPY,USD,0.00926600
KRW,AUD,0.00118000
KRW,BRL,0.00313400
KRW,CAD,0.00117400
KRW,CHF,0.00086900
KRW,EUR,0.00079300
KRW,GBP,0.00062200
KRW,JPY,0.09989200
KRW,KRW,1.00000000
KRW,MXN,0.01574100
KRW,NZD,0.00133200
KRW,RUB,0.06545200
KRW,SGD,0.00121500
KRW,TWD,0.02893200
KRW,USD,0.00088000
MXN,AUD,0.07873200
MXN,BRL,0.20910100
MXN,CAD,0.07839500
MXN,CHF,0.05801700
MXN,EUR,0.05295000
MXN,GBP,0.04156900
MXN,JPY,6.66285400
MXN,KRW,70.03490900
MXN,MXN,1.00000000
MXN,NZD,0.08893700
MXN,RUB,4.36567200
MXN,SGD,0.08110900
MXN,TWD,1.92987600
MXN,USD,0.05880300
NZD,AUD,0.92951900
NZD,BRL,2.46866800
NZD,CAD,0.92554500
NZD,CHF,0.68496600
NZD,EUR,0.62514100
NZD,GBP,0.49078100
NZD,JPY,78.66226500
NZD,KRW,826.83844900
NZD,MXN,12.39639300
NZD,NZD,1.00000000
NZD,RUB,51.54152700
NZD,SGD,0.95759000
NZD,TWD,22.78430000
NZD,USD,0.69424500
RUB,AUD,0.02078200
RUB,BRL,0.05268600
RUB,CAD,0.02069300
RUB,CHF,0.01531400
RUB,EUR,0.01397600
RUB,GBP,0.01097200
RUB,JPY,1.75875300
RUB,KRW,18.48670200
RUB,MXN,0.27716100
RUB,NZD,0.02347600
RUB,RUB,1.00000000
RUB,SGD,0.02140900
RUB,TWD,0.50941700
RUB,USD,0.01552200
SGD,AUD,1.01921900
SGD,BRL,2.70689800
SGD,CAD,1.01486100
SGD,CHF,0.75106700
SGD,EUR,0.68546800
SGD,GBP,0.53814200
SGD,JPY,86.25328900
SGD,KRW,906.62958300
SGD,MXN,13.59266400
SGD,NZD,1.15132600
SGD,RUB,56.51536100
SGD,SGD,1.00000000
SGD,TWD,24.98301900
SGD,USD,0.76124000
TWD,AUD,0.04283500
TWD,BRL,0.11376600
TWD,CAD,0.04265300
TWD,CHF,0.03156600
TWD,EUR,0.02880800
TWD,GBP,0.02261700
TWD,JPY,3.62509900
TWD,KRW,38.10432100
TWD,MXN,0.57127900
TWD,NZD,0.04838800
TWD,RUB,2.37525700
TWD,SGD,0.04412900
TWD,TWD,1.00000000
TWD,USD,0.03199300
USD,AUD,1.40583600
USD,BRL,3.73369500
USD,CAD,1.39982600
USD,CHF,1.03596600
USD,EUR,0.94548500
USD,GBP,0.74227500
USD,JPY,118.97140600
USD,KRW,1250.53775700
USD,MXN,18.74871600
USD,NZD,1.58805400
USD,RUB,77.95310700
USD,SGD,1.44829200
USD,TWD,34.45972900
USD,USD,1.00000000
